Panel,Method,n,ROC,pAUC(10%),PR-AUC,EF1%,EF5%,NEF1,NEF5,BEDROC,R-prec,Recall@10
KIR,AK-Score2,53,0.700,0.584,0.246,5.89,3.88,0.369,0.318,0.331,0.252,0.122
KIR,AD4 energy,53,0.676,0.553,0.173,2.61,2.18,0.165,0.211,0.251,0.171,0.065
KIR,GenScore,53,0.681,0.601,0.273,9.66,4.25,0.407,0.363,0.373,0.292,0.160
KIR,RTMScore,53,0.712,0.597,0.281,9.44,4.13,0.406,0.350,0.369,0.287,0.158
PKIS2,AK-Score2,603,0.583,0.539,0.152,4.07,2.28,0.215,0.194,0.209,0.154,0.074
PKIS2,RTMScore,605,0.575,0.545,0.160,4.54,2.49,0.254,0.209,0.225,0.165,0.081
PKIS2,GenScore,605,0.571,0.547,0.156,4.08,2.63,0.243,0.224,0.232,0.167,0.083
