panel,drug,auc,lo,hi,n_act
KIR,Acalabrutinib,0.8747993579454254,0.7067233487868922,1.0428753671039586,7
KIR,Afatinib,0.6953262786596119,0.5814837447873078,0.8091688125319161,27
KIR,Alpelisib,0.7522758757173956,0.650409003504858,0.8541427479299333,31
KIR,Apatinib,0.6956087824351297,0.5751579448441697,0.8160596200260897,24
KIR,Avapritinib,0.6057098765432098,0.5007897296734763,0.7106300234129433,34
KIR,Baricitinib,0.6776380153738645,0.5871035096906632,0.7681725210570658,45
KIR,Binimetinib,0.9558011049723757,0.6737721812206212,1.2378300287241302,1
KIR,Cabozantinib,0.7524653136108245,0.6758536468406192,0.8290769803810297,57
KIR,Canertinib,0.7621849903073941,0.678570042341374,0.8457999382734142,46
KIR,Capmatinib,0.6487252124645893,0.353812872554143,0.9436375523750355,4
KIR,Ceritinib,0.5212077394477725,0.4316801130230034,0.6107353658725416,47
KIR,Dacomitinib,0.669425087108014,0.567397074386114,0.771453099829914,35
KIR,Darovasertib,0.5203146161058444,0.4094644345320202,0.6311647976796686,29
KIR,Defactinib,0.5762042190613619,0.5134243651870494,0.6389840729356744,126
KIR,Encorafenib,0.664573268921095,0.5243383520727093,0.8048081857694808,18
KIR,Erdafitinib,0.5677677381128722,0.4735893866661046,0.6619460895596397,43
KIR,Erlotinib,0.8031868131868132,0.6577747098312627,0.9485989165423636,13
KIR,Fedratinib,0.5694126431060229,0.4926956692920473,0.6461296169199986,70
KIR,Fostamatinib,0.6807746811525744,0.607680907982157,0.7538684543229919,73
KIR,Gedatolisib,0.7830985915492957,0.4036718392015066,1.1625253438970848,2
KIR,Gilteritinib,0.6227899159663866,0.5609855531246928,0.6845942788080803,125
KIR,Ibrutinib,0.8455658859288396,0.7620063188381369,0.9291254530195424,34
KIR,Larotrectinib,0.7560192616372392,0.5460706093258835,0.9659679139485949,7
KIR,Lazertinib,0.6792501952616506,0.5552883127793189,0.8032120777439824,23
KIR,Lenvatinib,0.8357423084864753,0.743418723159708,0.9280658938132427,29
KIR,Mitapivat,0.8711484593837535,0.4223658376123782,1.3199310811551288,1
KIR,Mobocertinib,0.7963998211091234,0.6494208597767751,0.9433787824414718,13
KIR,Neratinib,0.6451878538342769,0.5680043522457014,0.7223713554228524,67
KIR,Netarsudil,0.43338727076591155,0.3533552982264529,0.5134192433053701,54
KIR,Osimertinib,0.7128021148036254,0.6089536279782455,0.8166506016290054,32
KIR,Pacritinib,0.5963582420448618,0.5358795109291105,0.6568369731606131,144
KIR,Paxalisib,0.6366197183098592,0.29576133872125937,0.977478097898459,3
KIR,Pazopanib,0.4862300319488818,0.40055440036503515,0.5719056635327284,50
KIR,Pemigatinib,0.6631325301204819,0.5432394662360358,0.783025594004928,25
KIR,Pexidartinib,0.8205619412515964,0.6513104502462994,0.9898134322568934,9
KIR,Pirtobrutinib,0.7974913494809689,0.6688810169115916,0.9261016820503462,17
KIR,Pralsetinib,0.6449425915800984,0.5651866324532927,0.724698550706904,62
KIR,Quizartinib,0.7656941911956239,0.5995226639578474,0.9318657184334004,11
KIR,Rabusertib,0.4892128279883382,0.3407821272972765,0.6376435286793999,15
KIR,Regorafenib,0.7393923240938166,0.6311149653957371,0.8476696827918961,28
KIR,Remibrutinib,0.8837535014005602,0.6347756634246645,1.132731339376456,3
